                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                 0.9034,                 1.1179,                 1.2196,                0.74095,                0.71697,                0.75739,                0.59962,                0.74774,                 1.0149,                 1.2327,               0.004654,               0.004654,               0.004654
                    110,                0.90059,                 1.1329,                 1.2167,                0.76449,                0.68559,                0.75484,                0.59822,                0.74628,                 1.0219,                 1.2293,              0.0046045,              0.0046045,              0.0046045
                    111,                0.90591,                 1.1438,                 1.2265,                0.74383,                0.69992,                0.75112,                0.59522,                0.74701,                  1.026,                 1.2277,               0.004555,               0.004555,               0.004555
                    112,                0.88988,                 1.0983,                 1.2125,                0.74316,                0.70936,                0.75251,                0.59643,                0.74431,                 1.0218,                 1.2235,              0.0045055,              0.0045055,              0.0045055
                    113,                0.89655,                 1.1157,                 1.2168,                0.73885,                0.71479,                0.75401,                0.59867,                0.74424,                 1.0154,                 1.2239,               0.004456,               0.004456,               0.004456
                    114,                0.88858,                 1.0986,                 1.2127,                0.73438,                0.71459,                0.75303,                  0.597,                0.74553,                 1.0143,                 1.2257,              0.0044065,              0.0044065,              0.0044065
                    115,                 0.8928,                 1.1016,                 1.2168,                0.75412,                0.69886,                0.75346,                0.59871,                0.74653,                 1.0119,                 1.2262,               0.004357,               0.004357,               0.004357
                    116,                0.87901,                 1.0895,                 1.2043,                0.75249,                0.69723,                0.75404,                0.59889,                0.74463,                 1.0097,                 1.2249,              0.0043075,              0.0043075,              0.0043075
                    117,                0.87637,                  1.069,                 1.2071,                0.76097,                0.68953,                0.75427,                0.60044,                 0.7446,                 1.0077,                  1.226,               0.004258,               0.004258,               0.004258
                    118,                0.88071,                 1.0815,                  1.207,                0.74804,                0.70764,                0.75452,                0.60259,                  0.744,                 1.0062,                 1.2265,              0.0042085,              0.0042085,              0.0042085
                    119,                0.88456,                 1.0782,                  1.205,                0.73894,                0.71798,                0.75541,                0.60352,                0.74323,                 1.0051,                 1.2268,               0.004159,               0.004159,               0.004159
                    120,                0.88465,                  1.068,                 1.2136,                0.72817,                0.72204,                0.75555,                0.60488,                 0.7437,                 1.0019,                 1.2283,              0.0041095,              0.0041095,              0.0041095
                    121,                 0.8738,                 1.0558,                 1.2071,                 0.7797,                0.67803,                0.75633,                0.60511,                0.74433,                 1.0029,                 1.2302,                0.00406,                0.00406,                0.00406
                    122,                0.86087,                 1.0534,                 1.1972,                0.74806,                0.70416,                0.75743,                0.60733,                0.74228,                 1.0034,                 1.2277,              0.0040105,              0.0040105,              0.0040105
                    123,                0.87656,                 1.0654,                 1.2108,                0.76627,                0.69091,                0.75808,                0.60746,                0.74157,                  1.002,                 1.2274,               0.003961,               0.003961,               0.003961
                    124,                0.87563,                 1.0467,                 1.1983,                0.77159,                0.68873,                0.75931,                0.60821,                0.74169,                0.99924,                 1.2272,              0.0039115,              0.0039115,              0.0039115
                    125,                 0.8791,                 1.0477,                 1.2034,                0.73203,                0.72164,                0.75914,                0.60921,                0.74295,                0.99876,                 1.2284,               0.003862,               0.003862,               0.003862
                    126,                0.88253,                 1.0604,                  1.203,                0.77657,                0.68866,                0.75995,                0.60944,                0.74093,                0.99465,                 1.2253,              0.0038125,              0.0038125,              0.0038125
                    127,                0.86742,                 1.0355,                  1.195,                0.77366,                0.68949,                0.76018,                0.61028,                0.73972,                0.99497,                 1.2246,               0.003763,               0.003763,               0.003763
                    128,                0.84324,                 1.0281,                 1.1863,                0.77603,                0.69612,                0.76117,                0.61102,                0.73855,                 0.9943,                 1.2238,              0.0037135,              0.0037135,              0.0037135
                    129,                0.85879,                 1.0277,                 1.1916,                 0.7735,                0.69537,                0.76289,                0.61232,                0.73849,                0.99218,                  1.224,               0.003664,               0.003664,               0.003664
                    130,                0.85604,                  1.023,                 1.1888,                0.76238,                0.70432,                0.76263,                0.61191,                0.73838,                0.99103,                 1.2232,              0.0036145,              0.0036145,              0.0036145
                    131,                0.85298,                  1.014,                 1.1853,                0.76307,                0.70805,                0.76164,                0.61092,                0.73818,                0.99115,                 1.2227,               0.003565,               0.003565,               0.003565
                    132,                0.84449,                 1.0072,                 1.1781,                0.76523,                0.70821,                0.76171,                0.61085,                0.73789,                0.98966,                 1.2223,              0.0035155,              0.0035155,              0.0035155
                    133,                0.84678,                 1.0143,                 1.1892,                0.76668,                0.70641,                0.75841,                 0.6073,                0.73815,                0.98962,                 1.2229,               0.003466,               0.003466,               0.003466
                    134,                0.84242,                  1.003,                 1.1889,                0.77176,                0.70535,                0.75915,                0.60776,                0.73881,                 0.9917,                 1.2237,              0.0034165,              0.0034165,              0.0034165
                    135,                0.84048,                  1.007,                 1.1862,                0.75916,                0.71342,                0.76185,                0.61046,                0.74009,                0.99144,                 1.2249,               0.003367,               0.003367,               0.003367
